open,close,low,high,vol,time
9170.5,9172.0,9170.5,9174.5,3183.6012,2020-07-01 00:00:00
9174.5,9171.5,9170.5,9174.5,0.0,2020-07-01 00:01:00
9171.5,9170.5,9170.5,9171.5,0.0,2020-07-01 00:02:00
9170.5,9164.0,9163.5,9170.5,8934.7372,2020-07-01 00:03:00
9164.0,9164.5,9163.5,9164.5,0.0,2020-07-01 00:04:00
9164.5,9163.5,9162.0,9164.5,0.0,2020-07-01 00:05:00
9163.5,9163.5,9160.0,9164.5,0.0,2020-07-01 00:06:00
9163.5,9160.5,9160.5,9163.5,0.0,2020-07-01 00:07:00
9160.5,9159.0,9159.0,9160.5,0.0,2020-07-01 00:08:00
9159.0,9167.5,9159.0,9167.5,0.0,2020-07-01 00:09:00
9167.5,9163.5,9163.5,9167.5,0.0,2020-07-01 00:10:00
9163.5,9164.5,9163.5,9164.5,0.0,2020-07-01 00:11:00
9164.5,9173.5,9164.5,9173.5,949.55055,2020-07-01 00:12:00
9173.5,9170.5,9170.0,9173.5,0.0,2020-07-01 00:13:00
9170.5,9169.5,9169.5,9171.0,0.0,2020-07-01 00:14:00
9169.5,9170.0,9169.5,9170.0,0.0,2020-07-01 00:15:00
9170.0,9172.5,9169.5,9173.0,28120.2863,2020-07-01 00:16:00
9172.5,9176.5,9172.5,9177.5,174.325,2020-07-01 00:17:00
9176.5,9175.0,9175.0,9176.5,0.0,2020-07-01 00:18:00
9175.0,9177.0,9175.0,9180.5,2634.8035,2020-07-01 00:19:00
9177.0,9178.0,9177.0,9178.0,0.0,2020-07-01 00:20:00
9178.0,9179.0,9178.0,9179.0,0.0,2020-07-01 00:21:00
9179.0,9179.0,9178.0,9180.0,0.0,2020-07-01 00:22:00
9179.0,9178.5,9178.0,9180.0,0.0,2020-07-01 00:23:00
9178.5,9179.5,9178.5,9180.0,9.1795,2020-07-01 00:24:00
9179.5,9179.5,9179.5,9181.0,0.0,2020-07-01 00:25:00
9179.5,9177.5,9177.5,9179.5,0.0,2020-07-01 00:26:00
9177.5,9174.5,9174.0,9177.5,0.0,2020-07-01 00:27:00
